name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
Kepler-855 b,0,,0.745,7.886631100,,,,,,,,,transit,2016,16/05/10,19 40 22.7956,+43 32 15.2532,1573.07,1.03,1.03,0.06,5835.0,,Confirmed planets
Kepler-1075 b,0,,0.127,1.523728160,,,,,,,,,transit,2016,16/05/10,19 10 00.2783,+47 28 09.2346,293.617,0.56,0.54,-0.17,3959.0,,Confirmed planets
Kepler-682 b,0,,0.658,12.611906670,,,,,,,,,transit,2016,16/05/10,19 16 26.9408,+51 44 14.6185,,0.92,0.89,-0.05,5559.0,,Confirmed planets
HIP 8541 b,0,5.59,,1560.0,2.8,0.16,294.0,,,,,,RV,2016,16/03/17,01 50 06.3306,-54 32 06,169.0,1.17,7.83,-0.15,4670.0,,Confirmed planets
K2-111 b,0,0.01664,0.162,5.35180000,0.057000,0.130000,-69.3000,,,86.430,,,transit,2017,20/12/17,03 59 33.5382,+21 17 55.2437,201.70,0.84,1.25,-0.460,5775.00,,Confirmed planets
K2-111 c,0,0.03555,,15.67850000,0.116600,0.070000,-79.6000,,,,,,RV,2020,20/12/17,03 59 33.5382,+21 17 55.2437,201.70,0.84,1.25,-0.460,5775.00,,Confirmed planets
Kepler-1313 b,0,,0.157,3.833091180,,,,,,,,,transit,2016,16/05/10,19 29 33.2571,+42 13 59.7358,175.113,0.92,0.85,0.00,5453.0,,Confirmed planets
HD 187123 b,0,0.5074,,3.0965886,0.04213,0.0093,360,,,,,,RV,1998,17/12/10,19 46 58.11299,+34 25 10.2810,48.3,1.037,1.143,0.121,5815,,Confirmed planets
HD 187123 c,0,1.80,,3380,4.46,0.295,260.4,,,,,,RV,2007,17/12/10,19 46 58.11299,+34 25 10.2810,48.3,1.037,1.143,0.121,5815,,Confirmed planets
K2-324 b,0,,0.217,3.26200000,0.033100,,,,,88.330,707,,transit,2020,20/09/03,10 30 29,+06 51 49,137.18,0.52,0.51,,3752.00,,Confirmed planets
TOI-1296 b,0,0.298,1.231,3.9443715,0.0497,0.055,137.0,,,,1562.0,,transit,2021,21/07/15,17 07 05.00,+70 14 19.00,313.7,1.17,1.664,0.44,5603.0,,Confirmed planets
TOI-169 b,0,0.79100,1.086,2.25544770,0.035240,0.000000,,,,80.980,1715,,transit,2020,20/07/23,01 07 07,-75 11 56,412.50,1.15,1.29,0.240,5880.00,,Confirmed planets
Kepler-1012 b,0,,0.115,5.508604390,,,,,,,,,transit,2016,16/05/10,19 17 11.0972,+46 27 28.6949,416.008,0.95,0.91,0.05,5556.0,,Confirmed planets
Kepler-761 b,0,,0.181,10.128047890,,,,,,,,,transit,2016,16/05/10,19 22 00.8585,+44 08 36.9206,850.991,0.95,0.93,-0.09,5706.0,,Confirmed planets
HD 11112 b,0,7.64087,1.130,17244.90764393,13.503729,0.285438,289.0631,,,144.876,,,RV,2022,22/09/27,01 48 21,-41 29 40,44.3804000,1.07,1.47,0.187,5905.64,,Confirmed planets
Kepler-1347 b,0,,0.092,14.009475280,,,,,,,,,transit,2016,16/05/10,19 58 38.3052,+40 50 37.8690,,0.82,0.79,-0.11,5193.0,,Confirmed planets
Kepler-304 b,0,,0.26063,3.295709,,,,,,,,,transit,2014,14/02/26,19 37 46.0343,+40 33 27.1990,482.29,0.6870,0.687,,4731,,Confirmed planets
Kepler-304 d,0,,0.25061,9.653471,,,,,,,,,transit,2014,14/02/26,19 37 46.0343,+40 33 27.1990,482.29,0.6870,0.687,,4731,,Confirmed planets
Kepler-304 c,0,,0.19775,5.315946,,,,,,,,,transit,2014,14/02/26,19 37 46.0343,+40 33 27.1990,482.29,0.6870,0.687,,4731,,Confirmed planets
Kepler-304 e,0,,0.107,1.499146950,,,,,,,,,transit,2016,16/05/10,19 37 46.0343,+40 33 27.1990,482.29,0.6870,0.687,,4731,,Confirmed planets
Kepler-1479 b,0,,0.163,14.532613620,,,,,,,,,transit,2016,16/05/10,19 02 50.8629,+49 42 23.9949,744.269,0.99,0.98,-0.02,5796.0,,Confirmed planets
Kepler-246 b,0,,0.21324,4.601820,,,,,,,,,transit,2014,14/02/26,19 45 56.0187,+42 39 48.3205,768.87,0.7590,0.831,,5206,,Confirmed planets
Kepler-246 c,0,,0.13670,11.187161,,,,,,,,,transit,2014,14/02/26,19 45 56.0187,+42 39 48.3205,768.87,0.7590,0.831,,5206,,Confirmed planets
HD 4113 b,2,1.602,,526.686,1.298,0.8999,-48.45,,,,,,RV,2007,17/12/15,00 43 12.5958,-37 58 57.473,41.70,1.05,,0.2,5688,5.0,"Confirmed planets, Planets in binary systems, S-type"
HD 75898 b,0,2.51,,418.2,1.19,0.1,,,,,307.6,,RV,2007,09/10/06,08 53 50.8052,+33 03 24.5230,80.58,1.28,1.6,0.27,6021.0,,Confirmed planets
WASP-48 b,0,0.98,1.67,2.143634,0.03444,0.0,,,,80.09,2030,,transit,2011,11/04/15,19 24 38.9615,+55 28 23.3317,460.2,1.19,1.75,-0.12,5920,,Confirmed planets
EPIC 228754001 b,0,0.495,1.089,9.1708,0.0916,0.29,82.6,,,77.56,,,transit,2017,17/07/12,12 08 39.9335,-08 44 49.8466,620.42,1.19,4.11,-0.11,4878.0,5.5,Confirmed planets
Gliese 832 b,0,0.688908,,3660,3.6,0.08,246,40,,,,,RV,2008,14/06/24,21 33 33.9749,-49 00 32.4034,4.94,0.45,,-0.3,3472,,Confirmed planets
Gliese 832 c,0,0.015729,,35.67,0.162,0.03,80,246,,,,,RV,2014,14/06/24,21 33 33.9749,-49 00 32.4034,4.94,0.45,,-0.3,3472,,Confirmed planets
K2-122 b,0,,0.108,2.21928200,0.028500,,,,,,814,,transit,2017,18/10/26,08 25 54.3164,+20 21 34.4484,72.19,0.62,0.60,0.060,4027.00,,Confirmed planets
Kepler-1831 b,0,0.01430,0.176,5.78387022,0.065500,0.000000,,,,89.590,1.05100000000e+03,,transit,2021,22/02/01,19 41 13,+49 35 21,1053.4900000,1.12,1.01,0.070,6063.00,,Confirmed planets
BD+15 2940 b,0,1.11,,137.48,0.539,0.26,302,,,,,,RV,2013,15/11/23,16 00 22.93827,+15 32 48.9291,508,1.1,14.7,0.28,4796,7.1,Confirmed planets
Kepler-1686 b,0,,0.127,9.30987000,,,,,,,,,transit,2020,20/09/03,19 26 26,+42 02 09,745.49,,1.14,,5774.33,,Confirmed planets
HD 210702 b,0,1.9,,354.8,1.2,0.094,126,,,,,,RV,2007,15/11/02,22 11 51.33086,+16 02 25.9903,54.9,1.68,5.1,0.12,4967,,Confirmed planets
HD 180314 b,0,22,,396.03,1.4,0.257,,,,,553.4,,RV,2010,11/08/05,19 14 50.2087,+31 51 37.2594,132,2.6,9.2,0.2,4917.0,,Confirmed planets
Gliese 1214 b,0,0.02571,0.24463,1.580404497,0.01411,,,,,88.17,,,transit,2009,21/08/02,17 15 19.00,+04 57 50.00,13.0,0.15,0.216,0.39,3026.0,,Confirmed planets
K2-86 b,0,,0.1766,8.77586,,,,,,88.6,,,transit,2018,18/07/24,03 26 12.6713,+18 38 08.2019,245.500,0.757,0.722,-0.35,,,Confirmed planets
EPIC 201295312 b,0,,0.2453,5.65639,,0.12,,,,,,,transit,2015,16/03/07,11 36 02.7919,-02 31 15.1678,331,1.13,1.52,0.13,5830,,Confirmed planets
Kepler-1211 b,0,,0.227,11.018168360,,,,,,,,,transit,2016,16/05/10,19 02 52.9871,+40 51 25.0572,,0.96,0.94,-0.08,5705.0,,Confirmed planets
Gliese 176 b,0,0.0264,,8.7836,0.066,0,0,,,,,,RV,2007,16/02/03,04 42 55.77497,+18 57 29.4043,9.42,0.49,0.53,-0.1,3520,,Confirmed planets
WASP-161 b,0,2.49000,1.143,5.40604250,0.067300,,,,,89.010,1557,,transit,2018,18/12/13,08 25 21.0836,-11 30 03.5510,346.46,1.39,1.71,0.160,6400.00,,Confirmed planets
Kepler-1667 b,0,,0.266,83.57810000,,,,,,,,,transit,2020,20/09/03,18 54 08,+48 05 39,638.35,,1.06,,5951.00,,Confirmed planets
Kepler-712 b,0,,0.304,21.022476990,,,,,,,,,transit,2016,16/05/10,19 39 38.3294,+42 56 06.8693,893.336,0.84,0.78,-0.03,5148.0,,Confirmed planets
Kepler-712 c,0,,0.433,226.890470000,,,,,,,,,transit,2016,16/05/10,19 39 38.3294,+42 56 06.8693,893.336,0.84,0.78,-0.03,5148.0,,Confirmed planets
Kepler-535 b,0,,0.211,4.903321550,,,,,,,,,transit,2016,16/05/10,19 46 15.9984,+49 41 46.4671,699.447,1.18,1.27,0.13,6123.0,,Confirmed planets
Kepler-1000 b,0,,0.425,120.018127200,,,,,,,,,transit,2016,16/05/10,19 06 44.5199,+47 05 53.5765,1152.7378,1.40,1.51,0.35,6453.0,,Confirmed planets
Kepler-1131 b,0,,0.142,3.532324490,,,,,,,,,transit,2016,16/05/10,19 42 36.3476,+49 15 40.6497,1061.91,1.03,1.04,0.05,5851.0,,Confirmed planets
MOA-2016-BLG-319L b,0,0.62000,,,0.950000,,,,,,,,microlensing,2018,18/11/29,17 54 58,-29 45 02,6800.00,0.15,,,,,Confirmed planets
Kepler-633 b,0,,0.145,8.503407180,,,,,,,,,transit,2016,16/05/10,19 40 52.1542,+40 35 31.9542,958.957,1.02,1.15,-0.05,5899.0,,Confirmed planets
Kepler-1221 b,0,,0.168,12.000960420,,,,,,,,,transit,2016,16/05/10,19 03 17.3722,+45 42 42.7640,,0.87,0.82,0.09,5194.0,,Confirmed planets
HD 176986 b,0,0.01806,,6.48980000,0.062960,0.066000,249.0000,,,,,,RV,2017,17/12/21,19 03 05.8729,-11 02 38.1312,27.81,0.79,0.78,0.030,4931.00,,Confirmed planets
HD 176986 c,0,0.02888,,16.81910000,0.118780,0.111000,270.0000,,,,,,RV,2017,17/12/21,19 03 05.8729,-11 02 38.1312,27.81,0.79,0.78,0.030,4931.00,,Confirmed planets
K2-161 b,0,,0.544,9.2832,,,,,,87.3,,,transit,2018,18/07/24,12 15 10.5241,-03 29 44.2346,735.900,0.987,2.57,-0.03,,,Confirmed planets
Kepler-567 b,0,,0.201,16.542973750,,,,,,,,,transit,2016,16/05/10,19 50 41.4191,+48 18 08.3224,567.891,0.84,0.79,0.00,5148.0,,Confirmed planets
Kepler-1250 b,0,,0.171,2.607543830,,,,,,,,,transit,2016,16/05/10,19 11 10.5248,+45 58 48.9096,,0.99,0.98,0.04,5717.0,,Confirmed planets
HATS-72 b,0,0.12540,0.722,7.32794740,0.066517,0.013000,,,,89.560,739,,transit,2020,20/02/27,22 36 06.3189,-16 59 59.7882,127.66,0.73,0.72,0.099,4656.10,,Confirmed planets
HD 24064 b,0,9.4,,536.6,1.29,0.35,,,,,,,RV,2015,15/09/30,03 56 36.2965,+74 04 48.1238,264.4,1.0,38.0,-0.49,4052.5,,Confirmed planets
HATS-43 b,0,0.261,1.18,4.3888497,0.04944,0.173,330.0,,,89.24,,,transit,2017,17/07/26,05 22 09.1675,-30 01 45,341.0,0.837,0.812,0.05,5099.0,8.6,Confirmed planets
Kepler-1242 b,0,,0.202,13.627984320,,,,,,,,,transit,2016,16/05/10,18 58 25.4934,+41 11 46.9620,701.262,0.77,0.74,-0.05,4895.0,,Confirmed planets
KMT-2018-BLG-1988L b,0,0.0214,,,2.83,,,,,,,,microlensing,2021,21/11/22,17 41 08.00,-35 35 41.00,4200.0,0.47,,,,,Confirmed planets
Kepler-618 b,0,,0.232,3.595769640,,,,,,,,,transit,2016,16/05/10,19 04 59.9597,+48 03 39.3642,1266.46,1.05,1.08,0.08,5860.0,,Confirmed planets
Kepler-1315 b,0,0.00780,0.123,0.84338011,0.016300,0.000000,,,,78.230,1.54100000000e+03,,transit,2016,22/09/15,19 43 17,+46 03 11,480.8690000,0.80,0.75,0.070,4861.00,,Confirmed planets
Kepler-1315 c,0,0.01280,0.165,6.56606007,0.064000,0.000000,,,,88.080,7.77000000000e+02,,transit,2021,22/09/15,19 43 17,+46 03 11,480.8690000,0.80,0.75,0.070,4861.00,,Confirmed planets
HD 22781 b,0,13.65,,528.07,1.167,0.8191,,,,,167.0,,RV,2011,11/11/04,03 40 49.5245,+31 49 34.6488,31.79,0.75,,-0.37,5027.0,,Confirmed planets
Kepler-31 b,0,,0.57868,20.860674,,,,,,,,,transit,2014,14/02/26,19 36 05.5270,+45 51 11.1064,1790.60,1.2080,1.306,,6034,,Confirmed planets
Kepler-31 c,0,,0.51489,42.632728,,,,,,,,,transit,2014,14/02/26,19 36 05.5270,+45 51 11.1064,1790.60,1.2080,1.306,,6034,,Confirmed planets
Kepler-31 d,0,,0.41555,87.648901,,,,,,,,,transit,2014,14/02/26,19 36 05.5270,+45 51 11.1064,1790.60,1.2080,1.306,,6034,,Confirmed planets
TOI-181 b,0,0.14520,0.634,4.53200000,0.053900,0.154300,-96.9100,,,88.280,8.95100000000e+02,,transit,2023,23/10/15,23 28 41,-34 29 29,96.2338000,0.82,0.74,0.272,4994.00,,Confirmed planets
Kepler-926 b,0,,0.206,52.068860100,,,,,,,,,transit,2016,16/05/10,19 18 43.0449,+40 42 01.6458,945.626,1.01,1.01,0.03,5806.0,,Confirmed planets
Kepler-929 b,0,,0.099,0.921032140,,,,,,,,,transit,2016,16/05/10,19 53 55.4689,+41 36 55.2145,1361.66,1.01,1.02,-0.04,5869.0,,Confirmed planets
Kepler-1955 b,0,0.00531,0.104,14.26519966,0.117000,0.000000,,,,89.290,8.53000000000e+02,,transit,2021,22/02/01,19 58 08,+40 28 40,449.3510000,1.05,1.29,0.140,5825.00,,Confirmed planets
MOA-2010-BLG-073L b,0,11.0,,,,,,,,,,,microlensing,2012,12/11/19,18 10 11.342,-26 31 22.544,2800,0.16,,,,,Confirmed planets
Kepler-470 b,0,,1.288,24.669195690,,,,,,,,,transit,2016,16/05/10,19 48 02.2677,+50 22 20.3719,955.384,1.40,1.66,0.04,6613.0,,Confirmed planets
Kepler-1845 b,0,0.02050,0.218,11.60649967,0.088500,0.000000,,,,89.970,5.84000000000e+02,,transit,2021,22/02/01,19 31 36,+38 17 49,710.7240000,0.69,0.70,-0.140,4703.00,,Confirmed planets
Kepler-621 b,0,,0.205,2.628113750,,,,,,,,,transit,2016,16/05/10,19 23 42.5479,+39 54 50.9281,,0.72,0.68,-0.02,4521.0,,Confirmed planets
Kepler-1528 b,0,,0.130,1.791110210,,,,,,,,,transit,2016,16/05/10,19 09 36.7088,+46 34 26.3582,837.17,1.03,1.03,0.03,5857.0,,Confirmed planets
Kepler-1308 b,0,,0.046,2.104338120,,,,,,,,,transit,2016,16/05/10,19 03 42.9328,+38 31 15.4486,113.072,0.35,0.34,-0.13,3468.0,,Confirmed planets
Kepler-44 b,0,1.00,1.09,3.2467293,0.0446,,,,,84.96,,,transit,2011,15/12/03,20 00 24.5656,+45 45 43.7628,1229.1,1.12,1.35,0.42,5800,5.8,Confirmed planets
Kepler-896 b,0,,0.226,144.547396000,,,,,,,,,transit,2016,16/05/10,18 49 45.3985,+43 44 04.0819,,0.84,0.81,-0.10,5262.0,,Confirmed planets
Kepler-871 b,0,,0.334,22.045901800,,,,,,,,,transit,2016,16/05/10,19 38 06.5023,+43 22 05.3579,,1.11,1.14,0.09,5993.0,,Confirmed planets
Kepler-161 b,0,,0.19320,4.921355,,,,,,,,,transit,2014,14/02/26,19 22 03.9578,+43 05 01.7456,484.58,0.7830,0.806,,5078,,Confirmed planets
Kepler-161 c,0,,0.18682,7.064240,,,,,,,,,transit,2014,14/02/26,19 22 03.9578,+43 05 01.7456,484.58,0.7830,0.806,,5078,,Confirmed planets
KMT-2019-BLG-2783L b,0,1.16000,1.220,,1.850000,,,,,,,,microlensing,2023,23/10/15,17 57 10,-33 47 19,5910.0000000,0.34,,,,,Confirmed planets
OGLE-2015-BLG-1771L b,0,0.43300,,,0.850000,,,,,,,,microlensing,2020,20/06/24,17 55 12,-28 51 46,7070.00,0.08,,,,,Confirmed planets
Kepler-1328 b,0,,0.087,4.521588880,,,,,,,,,transit,2016,16/05/10,18 58 42.0941,+44 25 03.9200,833.056,1.00,0.99,0.00,5780.0,,Confirmed planets
K2-350 c,0,0.02500,0.244,19.99194400,,,,,,,6.87000000000e+02,,transit,2016,21/10/03,13 36 09,-14 00 33,489.3680000,0.98,1.04,-0.020,5789.00,,Confirmed planets
K2-350 b,0,0.00940,0.137,4.16387300,,,,,,,1.15800000000e+03,,transit,2021,21/10/03,13 36 09,-14 00 33,489.3680000,0.98,1.04,-0.020,5789.00,,Confirmed planets
HD 564 b,0,0.33,,492.3,1.2,0.096,314,,,,,,RV,2014,15/11/17,00 09 52.82123,-50 16 04.1606,53.6,0.961,1.01,-0.2,5902,5.5,Confirmed planets
Kepler-1544 b,0,,0.159,168.811174000,,,,,,,,,transit,2016,16/05/10,19 49 08.4029,+49 12 44.7871,338.364,0.81,0.74,0.02,4886.0,,Confirmed planets
IC 4651 9122 b,0,6.30000,,734.00000000,2.038000,0.180000,118.5000,,,,,,RV,2018,18/07/19,17 24 50,-49 56 56,879.38,2.10,,0.120,,,Confirmed planets
MOA 2011-BLG-322L b,0,11.6,,,,,,,,,,,microlensing,2013,18/09/19,18 04 53.6,-27 13 15.4,7560,0.39,,,,,Confirmed planets
WASP-12 b,2,1.404,1.736,1.0914222,0.02293,0.0,,,,86,2319.7,,transit,2008,13/07/31,06 30 33,+29 40 20,250,1.35,1.599,0.3,6118,,"Confirmed planets, Planets in binary systems, S-type"
Kepler-1700 b,0,,0.259,234.23900000,,,,,,,,,transit,2020,20/09/03,19 07 48,+45 21 14,732.73,,1.14,,5885.00,,Confirmed planets
WASP-119 b,0,1.23,1.4,2.49979,0.0363,,,,,85,1600,,transit,2016,16/02/04,03 43 44.0213,-65 11 37.8644,333,1.02,,0.14,5650,,Confirmed planets
Kepler-789 b,0,,0.189,8.638477250,,,,,,,,,transit,2016,16/05/10,19 43 54.0394,+38 56 47.8802,1544.64,1.01,1.02,-0.06,5870.0,,Confirmed planets
Kepler-1445 b,0,,0.086,10.600522510,,,,,,,,,transit,2016,16/05/10,18 40 59.8727,+43 54 54.3869,513.769,1.13,1.26,-0.03,6150.0,,Confirmed planets
2M 044144 b,2,9.8,,,,,,,,,1800,,imaging,2010,15/09/12,04 41 45.652,+23 01 58.07,145,0.018,,,2100,,"Confirmed planets, Planets in binary systems, S-type"
HD 33844 b,0,1.92,,547.9,1.59,0.16,190,,,,,,RV,2015,15/12/28,05 12 36.10097,-14 57 04.0084,100.9,1.78,5.29,0.27,4861,1.88,Confirmed planets
HD 33844 c,0,1.68,,924.3,2.25,0.09,5,,,,,,RV,2015,15/12/28,05 12 36.10097,-14 57 04.0084,100.9,1.78,5.29,0.27,4861,1.88,Confirmed planets
Kepler-180 c,0,,0.27430,41.885775,,,,,,,,,transit,2014,14/02/26,19 42 17.1136,+49 46 28.4282,873.85,0.9100,1.063,,5731,,Confirmed planets
Kepler-180 b,0,,0.13670,13.817124,,,,,,,,,transit,2014,14/02/26,19 42 17.1136,+49 46 28.4282,873.85,0.9100,1.063,,5731,,Confirmed planets
2MASS J2002-0521,0,13.0,1.36,,,,,,,,1301.0,,imaging,2022,22/01/23,20 02 50.71,-05 21 52.58,17.6316,,,,,,Confirmed planets
Kepler-1088 b,0,,0.127,23.127486440,,,,,,,,,transit,2016,16/05/10,18 46 14.7505,+42 27 01.7750,282.917,1.08,1.08,0.05,5975.0,,Confirmed planets
HATS-67 b,0,1.45,1.685,1.6091788,0.03032,0,,,,79.03,2193,,transit,2018,18/12/13,12 00 50.1182,-46 08 11.1247,987.1,1.435,1.441,0.332,6594,,Confirmed planets
TOI-700 b,0,,0.093,9.97702000,0.067700,0.081000,-75.0000,,,89.660,417,,transit,2020,20/07/23,06 28 23,-65 34 46,31.07,0.41,0.42,-0.070,3461.00,,Confirmed planets
TOI-700 c,0,,0.236,16.05111000,0.092900,0.078000,81.0000,,,88.868,356,,transit,2020,20/07/23,06 28 23,-65 34 46,31.07,0.41,0.42,-0.070,3461.00,,Confirmed planets
TOI-700 d,0,,0.102,37.42475000,0.163300,0.111000,0.0000,,,89.790,269,,transit,2020,20/07/23,06 28 23,-65 34 46,31.07,0.41,0.42,-0.070,3461.00,,Confirmed planets
